rule_id,domain,topic,title,applies_to,keywords,requirement,preferred_pattern,anti_pattern,default_value,notes
FDN-001,foundation,color,Use standard Tailwind classes for colors,Vue components Tailwind styling,"color,hex,semantic,text,background,border,tailwind",Colors should use standard Tailwind semantic classes instead of hard-coded hex values,Use Tailwind classes like text-gray-900 bg-gray-50 text-blue-600 for semantic color roles,Do not scatter raw hex values like #333 or #F5F6F8 directly in template or style,,Prefer semantic names over visual names
FDN-002,foundation,color,Prefer semantic Tailwind classes over visual color names,Text background border surface,"semantic,color,text,background,border,surface,tailwind",Color classes should express role rather than arbitrary hex or visual-only names,"Use role-based Tailwind classes: text-gray-900 for primary text, bg-gray-50 for page background",Do not use appearance-only names or hex values when a semantic Tailwind class exists,,Use during refactors and new component audits
FDN-003,foundation,color,Avoid Tailwind arbitrary color values when standard class exists,Vue Tailwind styling,"tailwind,arbitrary,color,legacy",Avoid bg-[#F5F6F8] or text-[#333] when a standard class like bg-gray-50 or text-gray-900 exists,Use standard Tailwind color classes; only use arbitrary values when no standard class matches,Do not use bg-[#hex] or text-[#hex] as steady-state pattern when Tailwind has a matching class,,"If migration is required, document the temporary exception"
FDN-004,foundation,typography,Use a shared base font family,App shell content areas,"font,typography,family,base",Use a consistent font family across the application shell and content areas,Configure base font family in Tailwind config or global CSS,Do not redefine unrelated font families locally,"""PingFang SC"", ""Microsoft YaHei"", sans-serif",Map to existing project typography tokens if already present
FDN-005,foundation,typography,Use a finite typography scale,Text components modules,"font,size,line-height,weight,scale,tailwind",Font sizes and line heights must come from the enterprise typography scale,Use text-xs(12px) text-sm(14px) text-base(16px) text-lg(18px) text-xl(20px) text-2xl(24px) text-3xl(28px),Do not mix arbitrary text-[Npx] values inside the same module,12px|14px|16px|22px|24px,Audit repeated one-off text classes
FDN-006,foundation,spacing,Use standard Tailwind spacing classes,Layout shells cards toolbars forms,"spacing,padding,margin,gap,tailwind",Spacing must use standard Tailwind spacing scale instead of arbitrary values,"Use Tailwind spacing: 4px->1, 8px->2, 12px->3, 16px->4, 20px->5, 24px->6, 32px->8",Do not use p-[16px] or gap-[12px] when standard classes exist,4px|8px|12px|32px,Shared spacing should cover layout and component rhythm
FDN-007,foundation,refactor,Map to existing Tailwind config instead of duplicating values,Theme layer migration,"refactor,tailwind,config,duplicate",If Tailwind config already has a matching value use the existing class instead of duplicate arbitrary values,Align rule intent to the current token system,Do not create parallel arbitrary value patterns when equivalent Tailwind classes exist,,Important for generalized adoption across codebases
FDN-008,foundation,refactor,Update Tailwind config before mass-replacing values,Theme layer Tailwind config,"theme,tailwind,config,refactor",If a needed value does not exist in Tailwind config add it to the shared config first then use the class,Add or update the closest shared theme layer before mass replacement,Do not patch repeated arbitrary values one by one without a shared config entry,,Use when scaling audits beyond a single page
FDN-009,foundation,color,Use brand colors for UI states,Brand color states,"color,brand,primary,success,warning,danger,info,hover","Brand colors: primary #0067D1, hover #2E86DE, success #01AA71, warning #FCC800, danger #E02128, info #2070f3, none #AEAEAE",Apply brand colors via Tailwind classes or :deep() scoped overrides for Element Plus,Do not use hard-coded hex values that differ from brand spec,#0067D1|#2E86DE|#01AA71|#FCC800|#E02128|#2070f3|#AEAEAE,Applies to custom CSS and Tailwind utilities. For third-party components see FDN-009-TP
FDN-009-TP,foundation,color,Override Element Plus component colors with brand colors,Third-party component color override,"color,third-party,component,override,element-plus",Element Plus components must have default colors overridden to match brand colors via :deep() in scoped styles,Use :deep() to override Element Plus CSS variables: --el-button-bg-color: #0067D1; --el-button-hover-bg-color: #2E86DE; cover default hover focus active,Do not leave Element Plus components using default non-brand colors,#0067D1|#2E86DE|#01AA71|#FCC800|#E02128,REQUIRED: add scoped style overrides with :deep() for el-button el-tag el-input el-select etc. Example: :deep(.el-button--primary) { --el-button-bg-color: #0067D1; --el-button-hover-bg-color: #2E86DE; }
