rule_id,domain,page_type,topic,title,applies_to,keywords,requirement,preferred_pattern,anti_pattern,default_value,notes
LAY-001,layout,all,page-safe-margin,Use 32px left and right safe margin for main page content,Page shells content containers app frames,"layout,page,safe-margin,padding,32px",The left and right safe margin between the page edge and the main content area must be 32px,Apply this rule at the shared page container or layout shell when possible,Do not hard-code multiple local px-8 or px-[32px] replacements across many pages,32px,Use the shared page wrapper as the first choice
LAY-002,layout,all,page-safe-margin,Use Tailwind px-8 for safe margin,Theme root shared layout styles,"layout,token,safe-margin,root",Represent the 32px safe margin through the shared page wrapper consuming px-8,Define or reuse the shared layout token and consume it in the page container,Do not duplicate literal safe-margin values in disconnected stylesheets,32px,Matches foundation spacing scale
LAY-003,layout,all,refactor,Prefer shared page wrappers for consistent edge spacing,Shared layout wrappers page containers,"layout,wrapper,page-container,shared",Prefer shared page wrappers for consistent edge spacing across screens,Normalize the wrapper instead of patching every page in isolation,Do not scatter local padding fixes when a common shell can enforce the same rule,,Important for scale and maintainability
LAY-004,layout,all,responsive,Keep narrow viewport behavior explicit,Mobile compact layouts,"layout,mobile,responsive,compact",Keep mobile or narrow viewport behavior explicit and follow the design system's compact safe margin if it exists,Implement responsive behavior in the shared shell or note the fallback assumption,Do not accidentally lock small screens to an unusable desktop gutter,,If no compact rule exists preserve usability and document the assumption
LAY-005,layout,all,legacy,Remove duplicated horizontal padding from nested legacy containers,Legacy nested page containers,"layout,legacy,nested,padding,duplicate",When legacy screens nest multiple containers remove duplicated horizontal padding where safe so the effective margin remains correct,Simplify nested wrappers to a single effective safe margin,Do not keep stacked horizontal padding that doubles the visual gutter,,Audit nested containers during refactors
LAY-006,layout,all,page-background,Use bg-gray-50 for global page background,Page backgrounds app shells,"layout,page,background,color,color-bg-2",Global page background should use bg-gray-50 (#F5F6F8),Apply bg-gray-50 to the page root or main container,Do not use arbitrary background colors or hard-coded values,#F5F6F8,Applies to all page backgrounds
LAY-007,layout,all,page-top-navigation,Fix top navigation height to 48px with responsive width,Top navigation bars,"layout,page,navigation,height,48px,responsive",Top navigation height should be fixed at 48px with responsive width,Set height explicitly to 48px and width to responsive,Do not use arbitrary or inherited navigation heights,48px,Applies to all top navigation components
LAY-008,layout,all,card-background,Use bg-white and rounded-lg for content cards,Content cards page sections,"layout,page,card,background,color,radius",Content cards should use bg-white for background and rounded-lg for border radius,Apply color-bg-1 and radius-lg to card components,Do not use arbitrary background colors or border radius values,#FFFFFF|8px,Applies to all content cards
LAY-009,layout,all,card-typography,Use consistent typography and spacing for card titles,Card titles headers,"layout,page,card,title,typography,spacing","Card titles should use text-base font-bold (16px/700) with leading-8 (24px), 24px bottom padding; card padding 20px vertical and 24px horizontal",Apply font-headline-3 with 16px size 24px line height 700 weight and specified padding values,Do not use arbitrary font sizes or padding values for card titles,16px|24px|700|24px|24px,20px,24px,20px,Applies to all card titles
LAY-010,layout,all,page-edit-mode,Implement edit mode toggle with button state management,Edit mode forms cards,"layout,page,edit,mode,button,form",Edit button should be on the right side of card title clicking it switches form from read-only to edit mode edit button disappears and save cancel buttons appear,Implement state management to toggle between read-only and edit modes with appropriate button visibility,Do not mix edit mode states or leave buttons in inconsistent states,,Applies to pages with editable fields
LAY-011,layout,all,page-divider,Remove dividers between title and search/form area and between table toolbar and table,Page layout dividers search form,"layout,page,divider,title,search,form,table,toolbar,separator",There should be no divider lines between page title and search/form area and between table toolbar and table,Remove border-bottom or separator styles between these sections,Do not add unnecessary divider lines that create visual clutter,,Applies to all pages with search areas form areas and tables
LAY-012,layout,all,grid-search-background,Use bg-white for search/filter and form areas,Search filter form areas,"layout,page,grid,search,form,div,filter,background,color,color-bg-secondary,query,condition,screen,search-box,filter-box,input-area,control-area","Search area, filter area, form area background should use bg-white (#FFFFFF)",Apply color-bg-secondary to search filter form query condition screen search-box filter-box input-area control-area containers,Do not use arbitrary background colors for search filter form query condition screen search-box filter-box input-area control-area areas,#FFFFFF,Applies to all search filter form query condition screen search-box filter-box input-area control-area areas
