rule_id,domain,topic,title,applies_to,keywords,requirement,preferred_pattern,anti_pattern,default_value,notes
CMP-001,component,table,Use default as the default enterprise table size,Enterprise tables data grids,"table,size,default",Default enterprise table size is default (Element Plus medium equivalent),Set the component size prop explicitly to default when the component API supports it,Do not rely on inherited arbitrary spacing or inconsistent implicit defaults,default,Applies to shared table wrappers and direct table usage
CMP-002,component,table,Manual table composition must visually match default spec,Custom composed tables,"table,row-height,cell-padding,manual",If the table is composed manually row height cell padding and toolbar alignment should visually match the default specification,Normalize row height cell padding and toolbar alignment against the shared default baseline,Do not leave manual tables with arbitrary spacing just because they are not using the stock component,default,Use when auditing bespoke tables
CMP-003,component,toolbar,Keep adjacent toolbar button spacing at 12px for normal buttons and 8px for icon buttons,Table toolbars action groups,"toolbar,button,gap,12px,8px,spacing",When buttons are placed in a table toolbar horizontal spacing between adjacent normal buttons must be 12px and between icon buttons must be 8px,Use a shared toolbar wrapper or flex with gap-3 for normal buttons and gap-2 for icon-only buttons,Do not add repeated one-off left or right margins between neighboring actions,12px|8px,Tokenized gap is preferred over local margins. Normal buttons use 12px (gap-3), icon-only buttons use 8px (gap-2)
CMP-004,component,button,Ensure final visual spacing is 12px for normal buttons and 8px for icon buttons,All button groups,"button,spacing,gap,margin,12px,8px,normal,icon",All button groups should have 12px final visual spacing between normal buttons and 8px final visual spacing between icon-only buttons,Use flex containers with gap-3 for normal buttons and gap-2 for icon-only buttons; ensure button components have margin:0,Do not use arbitrary spacing values for button groups and do not rely on button component margins,12px|8px,Applies to all button groups. Final visual spacing must be 12px for normal buttons (gap-3) and 8px for icon-only buttons (gap-2). Ensure button components have margin:0 to avoid adding extra spacing
CMP-005,component,audit,Verify enterprise default size before editing,Reusable enterprise components,"audit,component,size,default",When touching a component verify whether it is using the enterprise default size,Check current props wrappers and inherited defaults before patching,Do not patch spacing in isolation without checking the component's default size,,Use as an audit question
CMP-006,component,audit,Verify action group alignment and spacing consistency,Toolbars repeated action clusters,"audit,alignment,spacing,action-group",When touching a component verify whether action groups are aligned and spaced consistently,Normalize via shared wrappers or stable layout primitives,Do not fix a single button if the group pattern remains inconsistent,,Use as an audit question
CMP-007,component,audit,Prefer shared primitives over local padding and text overrides,Reusable components shared wrappers,"audit,primitive,padding,text,shared",When touching a component verify whether paddings heights and text styles are inherited from a shared primitive instead of being redefined locally,Move repeated rules into the shared primitive when safe,Do not keep re-declaring the same local overrides across instances,,Use as an audit question
CMP-008,component,audit,Consider enforcing repeated rules in a shared wrapper,Wrapper components repeated patterns,"audit,wrapper,shared,refactor",When the same component rule appears repeatedly prefer enforcing it in a shared wrapper component,Patch the shared primitive if risk is acceptable,Do not duplicate the same fix in many call sites when one wrapper can own it,,Use to generalize future rule additions
CMP-009,component,input,Use default as the default search input size,Search inputs,"search,input,size,default",Default search input size is default (Element Plus medium equivalent),Set the component size prop explicitly to default when the component API supports it,Do not rely on inherited arbitrary spacing or inconsistent implicit defaults,default,Applies to all search input components
CMP-010,component,select,Use default as the default select size,Select dropdowns,"select,size,default",Default select size is default (Element Plus medium equivalent),Set the component size prop explicitly to default when the component API supports it,Do not rely on inherited arbitrary spacing or inconsistent implicit defaults,default,Applies to all select components
